"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmTileMapServiceSelect.vb", "Visual Basic", 206, 0, 0, 0, 0, 8, 32, 246
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmTitleSettingsAddingData.Designer.vb", "Visual Basic", 109, 0, 0, 0, 0, 35, 5, 149
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmTitleSettingsAddingData.vb", "Visual Basic", 44, 0, 0, 0, 0, 0, 3, 47
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmUserTileMap.designer.vb", "Visual Basic", 330, 0, 0, 0, 0, 98, 5, 433
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmUserTileMap.vb", "Visual Basic", 296, 0, 0, 0, 0, 0, 25, 321
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\StyleSheet.css", "CSS", 0, 0, 0, 106, 0, 0, 11, 117
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\about.html", "HTML", 0, 0, 121, 0, 0, 0, 9, 130
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\glossary.html", "HTML", 0, 0, 104, 0, 0, 0, 9, 113
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\index.html", "HTML", 0, 0, 110, 0, 0, 0, 4, 114
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\mapeditor.html", "HTML", 0, 0, 1120, 0, 0, 0, 66, 1186
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\outputwindow.html", "HTML", 0, 0, 567, 0, 0, 0, 21, 588
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\propertydata.html", "HTML", 0, 0, 902, 0, 0, 0, 35, 937
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\settingwindow.html", "HTML", 0, 0, 829, 0, 0, 0, 19, 848
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\HELP\subwindow.html", "HTML", 0, 0, 202, 0, 0, 0, 10, 212
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmLpatBasicSelect.Designer.vb", "Visual Basic", 173, 0, 0, 0, 0, 47, 5, 225
